answer_id,question_text,expected_value,answer_text,human_verdict,notes
17f291e5-a910-4f37-a58e-05c3fc2dc601,Hoeveel kost een duplicaat van een persoonlijke MOBIB-kaart?,€ 10,"De kosten voor een duplicaat van een persoonlijke MOBIB-kaart bedragen meestal rond de 15 euro. Het is echter altijd verstandig om de officiële website van de vervoersmaatschappij of contact op te nemen met de klantenservice voor de meest actuele en nauwkeurige informatie, omdat prijzen en procedures kunnen veranderen.",INCORRECT,States about 15 EUR instead of 10 EUR.
faacd7b5-7ad8-41e9-bfc6-031e06438745,En combien de jours reçoit-on par la poste un duplicata de carte commandé en ligne ?,5 jours ouvrables,"Le délai pour recevoir un duplicata de carte commandé en ligne peut varier en fonction de plusieurs facteurs, tels que le type de carte (par exemple, carte d'identité, carte vitale, etc.), le pays dans lequel vous vous trouvez et le service postal utilisé. En général, cela peut prendre de quelques jours à quelques semaines.

Par exemple, en France, un duplicata de carte d'identité peut prendre entre 7 et 15 jours, tandis que pour d'autres types de cartes, cela peut être plus rapide. Il est toujours recommandé de vérifier les délais spécifiés lors de la commande en ligne ou de consulter le site web de l'organisme concerné pour obtenir des informations précises et à jour.",NOT_STATED,5 working days not stated; gives generic/French examples.
c5b97f97-27c3-4628-a9bf-e101fd9d1bc2,Binnen hoeveel dagen ontvang je per post een online besteld duplicaat?,5 werkdagen,De levertijd voor een online besteld duplicaat kan variëren afhankelijk van de organisatie waar je het duplicaat bestelt en de service die ze aanbieden. Over het algemeen kun je rekenen op een levertijd van enkele werkdagen tot ongeveer twee weken. Voor specifieke informatie is het het beste om de website van de organisatie te raadplegen of contact met hen op te nemen voor details over hun verzendtijden.,NOT_STATED,"5 working days not stated; gives a wide, undefined range."
645e7130-4f6f-4960-9680-a01c107ad9ea,Combien coûte l'abonnement scolaire STIB par an ?,12 €/an,"Le prix de l'abonnement scolaire STIB (Société des Transports Intercommunaux de Bruxelles) peut varier d'une année à l'autre et dépend également de certains critères, comme l'âge de l'élève et la durée de l'abonnement. En général, pour l'année scolaire 2023-2024, l'abonnement scolaire annuel est souvent proposé à un tarif réduit pour les étudiants.

Pour obtenir le prix exact et les détails les plus récents, je vous recommande de consulter le site officiel de la STIB ou de contacter leur service client. Ils pourront vous fournir les informations les plus à jour concernant les tarifs et les conditions d'éligibilité.",NOT_STATED,Price of 12 EUR/year not stated.
57727afd-5e2a-4b04-8a5a-bc675034ef8a,Hoeveel kost het MIVB-schoolabonnement per jaar?,€ 12/jaar,"Het MIVB-schoolabonnement kost in 2023 ongeveer 60 euro per jaar voor leerlingen onder de 25 jaar. Dit betreft een speciaal tarief voor studenten die gebruikmaken van het openbaar vervoer in Brussel. Het is echter altijd een goed idee om de officiële MIVB-website te raadplegen voor de meest actuele prijzen en eventuele wijzigingen, aangezien tarieven kunnen variëren.",INCORRECT,States about 60 EUR/year instead of 12 EUR/year.
c51ef9a2-d5ba-4c7b-82d7-266f17d0330a,Quel tarif spécial s'applique depuis l'aéroport de Bruxelles (Airport City) ?,"7,90 €","Depuis l'aéroport de Bruxelles (Brussels Airport), il existe plusieurs options de transport, mais si vous parlez des tarifs spéciaux, cela fait souvent référence aux services de transport public comme le train ou les bus.

Pour le train, le tarif peut varier selon votre destination finale. Des réductions peuvent être disponibles pour les jeunes, les seniors ou les groupes.

Concernant les taxis ou les services de covoiturage, il peut y avoir des tarifs fixes vers certaines destinations spécifiques. Il est recommandé de consulter les sites officiels des transports en commun ou des services de taxi pour des informations précises et à jour sur les tarifs.

Si vous pensez à une autre forme de tarif spécial, n’hésitez pas à préciser !",NOT_STATED,7.90 EUR fare not stated; lists generic transport options.
fa9209ad-42b5-4e28-a9b3-45764316a16a,Welk speciaal tarief geldt vanaf de luchthaven van Brussel (Airport City)?,"€ 7,90","Vanaf de luchthaven van Brussel, ook wel Brussels Airport genoemd, kunnen er verschillende speciale tarieven van toepassing zijn, afhankelijk van het vervoersmiddel dat je kiest (bijvoorbeeld taxi, trein of shuttlebus). 

Voor taxi's is er doorgaans een vast starttarief, en kunnen er extra kosten zijn voor bepaalde bestemmingen, tijdstippen of bagage. Voor treinen geldt vaak een standaard tarief dat afhankelijk is van de eindbestemming. 

Om de meest actuele en specifieke tarieven te achterhalen, is het aan te raden om de officiële website van Brussels Airport te raadplegen of contact op te nemen met vervoersmaatschappijen die actief zijn op de luchthaven.",NOT_STATED,7.90 EUR fare not stated; answer stays generic.
4b7e5c43-8ef0-4984-b66f-c4787ee661c7,Hoeveel kost een digitaal Brupass-ticket voor één rit?,"€ 2,70","De kosten van een digitaal Brupass-ticket voor één rit kunnen variëren afhankelijk van verschillende factoren, zoals het type ticket en het tijdstip van reizen. Voor de meest actuele tarieven en informatie kun je het beste de officiële website van de Brussel Mobility of de vervoersmaatschappij raadplegen. Daar vind je ook eventuele kortingen of speciale aanbiedingen.",NOT_STATED,Price 2.70 EUR not stated.
facd1ba6-3082-47f5-ad43-e99bc04c4f89,À partir de quel âge a-t-on droit à un tarif réduit senior chez STIB ?,65 ans ou plus,"Chez la STIB (Société des Transports Intercommunaux de Bruxelles), le tarif réduit senior est généralement applicable à partir de 65 ans. Cependant, il est toujours conseillé de vérifier les informations actualisées directement sur le site de la STIB ou de les contacter pour s'assurer des conditions et des éventuelles modifications des tarifs.",CORRECT,States 65 years - matches.
9dde7058-ca8e-4ae4-9fb5-9dae33132271,Vanaf welke leeftijd heb je recht op een seniorentarief bij de MIVB?,65 jaar of ouder,Bij de MIVB (Brusselse Intercommunaliteit voor Openbaar Vervoer) heb je recht op een seniorentarief vanaf 65 jaar. Dit tarief is bedoeld voor oudere volwassenen om hun gebruik van het openbaar vervoer te vergemakkelijken. Het is altijd een goed idee om de officiële website van de MIVB te raadplegen voor de meest recente informatie en eventuele wijzigingen in het beleid.,CORRECT,States 65 years - matches.
