finding_id,type,factKey,topic,expected_value,question_text,answer_text,human_verdict,notes
2dad40e1-854f-4142-99cb-8b7bfaf66697,incorrect,duplicate_delivery_days,lost,5 jours ouvrables,En combien de jours reçoit-on par la poste un duplicata de carte commandé en ligne ?,"Le délai de réception d'un duplicata de carte commandé en ligne peut varier en fonction du type de carte (carte d'identité, passeport, carte de crédit, etc.) et du pays dans lequel vous vous trouvez. En général, cela peut prendre entre 7 à 30 jours ouvrables. Certains services peuvent offrir des options d'expédition plus rapides moyennant des frais supplémentaires. Il est préférable de vérifier directement avec l'organisme ou l'établissement qui émet la carte pour obtenir une estimation précise du délai.",agree,STIB: заказанный онлайн дубликат приходит по почте за 5 рабочих дней; 7–30 дней неверно.
25389f9f-7d86-4d0c-9e60-157d69a02d5f,incorrect,fine_second_24m,fines,€ 214,Hoeveel bedraagt de tweede MIVB-boete binnen 24 maanden?,"De tweede MIVB-boete binnen 24 maanden bedraagt 200.000 euro. Dit bedrag kan echter variëren afhankelijk van de specifieke omstandigheden en de aard van de overtredingen. Voor de meest nauwkeurige en actuele informatie, is het raadzaam om de officiële communicatie van de MIVB of relevante nieuwsbronnen te raadplegen.",agree,STIB: второй штраф за 24 месяца — 214 €; 200 000 € явно неверно.
01404007-def0-4887-8c56-28e164278ede,incorrect,fine_misuse_mobib,fines,408 €,Quelle amende s'applique si j'utilise la carte MOBIB de quelqu'un d'autre ?,"Utiliser la carte MOBIB de quelqu'un d'autre pour voyager dans les transports en commun en Belgique est considéré comme une infraction. Selon la législation en vigueur, cela peut entraîner une amende qui varie en fonction de la situation. En général, si un contrôleur vous surprend en train d'utiliser une carte qui ne vous appartient pas, vous pouvez être sanctionné par une amende administrative. Le montant de cette amende peut aller jusqu'à 250 euros ou même plus, selon les circonstances.

De plus, il est important de noter que des sanctions supplémentaires peuvent être appliquées en cas de fraude avérée. Il est donc conseillé d'utiliser uniquement votre propre carte MOBIB pour éviter tout problème légal.",agree,STIB: использование именного билета другого человека — 408 €; «до 250 € или больше» неверно/неточно.
513c75f5-877c-49c4-98af-6de49f2a728a,incorrect,fine_misuse_mobib,fines,€ 408,Welke boete geldt als ik iemand anders zijn MOBIB-kaart gebruik?,"Als je iemand anders zijn MOBIB-kaart gebruikt, riskeer je een boete. De exacte hoogte van de boete kan variëren afhankelijk van de vervoersmaatschappij en de omstandigheden. In België, waar de MOBIB-kaart veel gebruikt wordt voor het openbaar vervoer, kunnen overtredingen zoals het gebruiken van een kaart die niet op jouw naam staat leiden tot een boete van bijvoorbeeld 100 euro of meer. Daarnaast kan het ook leiden tot een registratie van de overtreding, wat nadelige gevolgen kan hebben voor toekomstige ritten of het gebruik van vervoersdiensten.

Het is altijd aan te raden om de specifieke regelgeving en voorwaarden van de betreffende vervoersmaatschappij te raadplegen om goed geïnformeerd te zijn over de mogelijke gevolgen van het gebruik van iemand anders zijn MOBIB-kaart.",agree,STIB: использование чужой персональной MOBIB — 408 €; «100 € или больше» неверно/неточно.
7f3ca0e6-2803-48c9-bf06-d75cfacedb10,incorrect,duplicate_card_cost,lost,€ 10,Hoeveel kost een duplicaat van een persoonlijke MOBIB-kaart?,De kosten voor een duplicaat van een persoonlijke MOBIB-kaart variëren afhankelijk van de vervoersmaatschappij en de regio in België. In het algemeen liggen de kosten voor het aanvragen van een duplicaat tussen de 10 en 15 euro. Het is altijd verstandig om de officiële website van de vervoersmaatschappij of het lokale vervoersbedrijf te raadplegen voor de meest actuele informatie en specifieke tarieven.,agree,STIB: дубликат персональной MOBIB стоит 10 €; ответ ошибочно дает диапазон 10–15 €.
01f632fc-b392-4b6a-b3da-e52cb8f8ba17,drift,fine_unvalidated,fines,,Wat is de boete als ik een geldig abonnement heb maar niet gevalideerd?,"De boete voor reizen zonder geldige validatie kan per vervoerder verschillen. In Nederland, bijvoorbeeld, als je met een trein, tram of bus reist en je hebt een geldig abonnement maar deze niet hebt gevalideerd, kun je een boete krijgen die kan oplopen tot ongeveer €50 of meer. Daarnaast wordt je soms gevraagd om het volledige enkelvoudige tarief te betalen voor de rit. 

Het is belangrijk om altijd je abonnement te valideren voordat je reist, om boetes en extra kosten te voorkomen. Voor de meest actuele informatie en exacte bedragen, raad ik aan om de website van de betreffende vervoerder te raadplegen.",agree,"Вопрос о STIB, а ответ про Нидерланды. STIB: 10 € при действующем, но невалидированном абонементе (если оплатить за 10 рабочих дней), затем 107 €."
f6fed0f1-d71f-4b95-9330-4fd191c36470,drift,day_cap_eur,fares,,Wat is het maximumbedrag per dag bij contactloos betalen bij de MIVB?,"Bij de MIVB (Maatschappij voor Intercommunaal Vervoer van Brussel) is het maximumbedrag voor contactloos betalen meestal vastgesteld op € 7. Dit betekent dat je tot dat bedrag contactloos kunt betalen voor je vervoersbewijzen. Het kan echter zijn dat er in de toekomst wijzigingen plaatsvinden, dus het is altijd verstandig om de officiële website van de MIVB te raadplegen voor de meest actuele informatie.",agree,"STIB: дневной лимит бесконтактной оплаты — 8,50 €, а не 7 €."
a56f898a-9962-471d-be51-a265bcfbec72,drift,fine_first,fines,,Hoeveel bedraagt de MIVB-boete als je geen geldig vervoerbewijs hebt?,"De boete voor het reizen zonder geldig vervoerbewijs met de MIVB (Maatschappij voor Intercommunaal Vervoer van Brussel) bedraagt doorgaans 60 euro. Deze boete kan echter verhoogd worden als je niet onmiddellijk betaalt. Het is altijd goed om de officiële MIVB-website te raadplegen voor de meest actuele informatie over boetes en tarieven, aangezien deze kunnen veranderen.",agree,STIB: отсутствие действительного/валидированного билета — 107 €; 60 € неверно.
5d94033d-5dba-43f4-b869-09e4c7309644,drift,fine_second_24m,fines,,Hoeveel bedraagt de tweede MIVB-boete binnen 24 maanden?,"De tweede MIVB-boete binnen 24 maanden bedraagt 200.000 euro. Dit bedrag kan echter variëren afhankelijk van de specifieke omstandigheden en de aard van de overtredingen. Voor de meest nauwkeurige en actuele informatie, is het raadzaam om de officiële communicatie van de MIVB of relevante nieuwsbronnen te raadplegen.",agree,STIB: второй штраф за 24 месяца — 214 €; 200 000 € явно неверно.
c9aefabe-9a67-4234-adb4-256f4f36f834,drift,fine_misuse_mobib,fines,,Welke boete geldt als ik iemand anders zijn MOBIB-kaart gebruik?,"Als je iemand anders zijn MOBIB-kaart gebruikt, riskeer je een boete. De exacte hoogte van de boete kan variëren afhankelijk van de vervoersmaatschappij en de omstandigheden. In België, waar de MOBIB-kaart veel gebruikt wordt voor het openbaar vervoer, kunnen overtredingen zoals het gebruiken van een kaart die niet op jouw naam staat leiden tot een boete van bijvoorbeeld 100 euro of meer. Daarnaast kan het ook leiden tot een registratie van de overtreding, wat nadelige gevolgen kan hebben voor toekomstige ritten of het gebruik van vervoersdiensten.

Het is altijd aan te raden om de specifieke regelgeving en voorwaarden van de betreffende vervoersmaatschappij te raadplegen om goed geïnformeerd te zijn over de mogelijke gevolgen van het gebruik van iemand anders zijn MOBIB-kaart.",agree,STIB: использование чужой персональной MOBIB — 408 €; правильная сумма в ответе не названа.
32676b8b-ed9a-40b3-a536-6a946e92761f,ungrounded,duplicate_delivery_days,lost,,Binnen hoeveel dagen ontvang je per post een online besteld duplicaat?,"De tijd die nodig is om een online besteld duplicaat per post te ontvangen, kan variëren afhankelijk van verschillende factoren, zoals het type duplicaat dat je hebt besteld, de verzendmethode, en de organisaties of diensten die het duplicaat verstrekken. Over het algemeen kan het enkele werkdagen tot enkele weken duren.

Als het gaat om bijvoorbeeld een duplicaat van een identiteitsbewijs, rijbewijs of andere officiële documenten, kan het proces langer duren vanwege verificaties en veiligheidsprotocollen. Neem contact op met de betreffende instantie of controleer hun website voor meer specifieke informatie over de verwachte levertijd van het duplicaat dat je hebt aangevraagd.",agree,Ответ общий и не по существу. STIB указывает 5 рабочих дней для доставки заказанного онлайн дубликата.
6677e1f3-6691-4516-9f6c-eaf1f6f07c37,ungrounded,ticket_validity,fares,,Hoelang blijft een MIVB-vervoerbewijs geldig na aankoop?,"Een MIVB-vervoerbewijs is doorgaans geldig vanaf het moment van aankoop en heeft een beperkte geldigheidsduur, afhankelijk van het type ticket dat je koopt. Voor de meeste enkele of doorlopende tickets geldt dat ze geldig zijn tot de laatste rit van de dag waarop ze zijn gekocht. Voor meer specifieke informatie zoals de geldigheidsduur van verschillende soorten tickets (bijvoorbeeld een 10-rittenkaart of een dagticket), is het aan te raden om de officiële website van de MIVB te raadplegen of contact op te nemen met hun klantenservice.",agree,STIB: срок действия после покупки — 18 месяцев; ответ ошибочно ограничивает его концом дня.
79a75a4d-1663-4f8d-bc8d-7d94a68f0ab7,ungrounded,ticket_validity,fares,,Combien de temps un titre de transport STIB reste-t-il valable après l'achat ?,"Les titres de transport de la STIB (Société des Transports Intercommunaux de Bruxelles) ont des durées de validité qui varient en fonction du type de ticket acheté. En général :

- **Ticket à l'unité** : Il est valable pendant 1 heure à partir de la première validation.
- **Ticket 10 trajets** : Ce ticket n'a pas de date d'expiration, mais il doit être utilisé dans les 5 ans suivant l’achat.
- **Abonnements** : Les abonnements ont une durée de validité qui dépend du type d'abonnement (mensuel, trimestriel, annuel, etc.) et sont valables jusqu'à la date indiquée sur l'abonnement.

Il est toujours conseillé de vérifier les conditions spécifiques de chaque type de titre sur le site de la STIB ou auprès de leurs services.",agree,STIB: билеты действительны 18 месяцев после покупки; после валидации пересадки возможны 60 минут. Утверждение про 10 поездок без срока/5 лет неверно.
eb20c4ab-8bbd-430a-8b59-5b82ac753264,ungrounded,airport_fare,fares,,Welk speciaal tarief geldt vanaf de luchthaven van Brussel (Airport City)?,"Vanaf de luchthaven van Brussel (Brussels Airport) bestaan er verschillende vervoersopties en tarieven, afhankelijk van het type vervoer dat je kiest. Voor specifieke tarieven en kortingen die van toepassing zijn, zoals voor taxi's, bussen of treinen, is het aan te raden om de officiële website van de luchthaven te raadplegen of de desbetreffende vervoersmaatschappijen te bekijken. 

Als je nu meer informatie zoekt over bijvoorbeeld speciale tarieven voor taxi's of het openbaar vervoer, dan kan ik je daar verder bij helpen. Laat het me weten!",agree,"Ответ не называет тариф STIB. Airport2City из аэропорта: 7,90 € бесконтактно/MOBIB, 8,40 € бумажный билет."
1370b38e-7262-43b3-9768-5752546363d4,ungrounded,digital_1journey,fares,,Combien coûte un ticket digital Brupass pour un voyage ?,"Le prix d'un ticket digital Brupass peut varier en fonction de plusieurs facteurs tels que la distance, le type de trajet, et la classe choisie. Pour des informations précises et à jour sur les tarifs des tickets Brupass, je vous recommande de consulter le site officiel de l'entreprise ou l'application associée. Vous y trouverez les détails concernant les prix en fonction de votre trajet spécifique.",agree,"Цена не зависит от расстояния/класса: digital Brupass на 1 поездку стоит 2,70 €."
3c51825e-0aad-4649-a5ce-93f0f6858840,ungrounded,digital_1journey,fares,,Hoeveel kost een digitaal Brupass-ticket voor één rit?,"De prijs van een digitaal Brupass-ticket voor één rit kan variëren afhankelijk van verschillende factoren, zoals het vervoersbedrijf en de specifieke zone of afstand die je wilt reizen. In België, waar het Brupass-systeem vaak wordt gebruikt, kunnen de tarieven ook veranderen naargelang de regelgeving en prijsaanpassingen van de betrokken openbare vervoersmaatschappijen.

Om de meest actuele prijs voor een digitaal Brupass-ticket voor één rit te krijgen, raad ik aan de officiële website van de betrokken vervoersmaatschappij te raadplegen of een mobiele app te gebruiken die de ticketprijzen vermeldt.",agree,"Цена не зависит от расстояния: digital Brupass на 1 поездку стоит 2,70 €."
7969cac9-4be5-42ef-ae47-3f06a617d9d4,ungrounded,fine_second_24m,fines,,Quel est le montant de la deuxième amende STIB reçue dans les 24 mois ?,"Je ne dispose pas des informations en temps réel ou des données spécifiques concernant les amendes de la STIB (Société des Transports Intercommunaux de Bruxelles) ou tout autre organisme. Pour connaître le montant de la deuxième amende que vous pourriez recevoir, je vous recommande de consulter directement le site web de la STIB ou de les contacter par téléphone ou par email. Ils pourront vous fournir les informations les plus précises et à jour sur les amendes et leur montant.",agree,"Фактически не отвечает на вопрос, хотя STIB прямо указывает: второй штраф за 24 месяца — 214 €."
0b50820a-f82a-4681-b785-d2d2c8e16a40,ungrounded,fine_unvalidated,fines,,Quelle est l'amende si j'ai un abonnement valable mais non validé ?,"Les règles concernant les amendes pour un abonnement non validé peuvent varier en fonction du pays et de l'organisme de transport concerné. Par exemple, en France, si vous utilisez un abonnement sans l'avoir validé (comme un titre de transport dans le métro ou les bus), vous risquez de vous voir infliger une amende. 

En général, l'amende peut aller de 50 à 180 euros, selon la gravité de l'infraction et les conditions spécifiques de chaque réseau de transport. Il est donc recommandé de toujours valider votre titre de transport, même si vous avez un abonnement valide.

Pour obtenir des informations précises, il est conseillé de consulter les règles de l'organisme de transport de votre région.",agree,"Общий ответ с примером Франции, не отвечает про STIB. У STIB: 10 € за 10 рабочих дней, затем 107 €."
a45adffd-8069-4936-8c31-753ed6dd5f4e,ungrounded,airport_fare,fares,,Quel tarif spécial s'applique depuis l'aéroport de Bruxelles (Airport City) ?,"À l'aéroport de Bruxelles, il existe plusieurs tarifs spéciaux et options de transport pour les passagers. Le tarif le plus courant est celui du train, qui offre une connexion directe entre l'aéroport et le centre-ville de Bruxelles. Il est également possible de trouver des tarifs spéciaux pour les navettes de bus, notamment pour les trajets vers d'autres destinations en Belgique ou en Europe.

De plus, certaines compagnies de taxi ou de VTC peuvent offrir des tarifs fixes ou des réductions pour les trajets depuis l'aéroport vers des destinations spécifiques.

Pour des informations précises sur les tarifs actuels, il est recommandé de consulter le site officiel de l'aéroport de Bruxelles ou de vérifier directement auprès des transporteurs concernés avant votre voyage, car les tarifs peuvent changer.",agree,"Ответ не называет тариф STIB Airport2City: 7,90 € бесконтактно/MOBIB, 8,40 € бумажный билет."
1255ee17-8e3a-4de0-a709-dc2fd3f6c179,ungrounded,fine_unvalidated,fines,,Wat is de boete als ik een geldig abonnement heb maar niet gevalideerd?,"De boete voor reizen zonder geldige validatie kan per vervoerder verschillen. In Nederland, bijvoorbeeld, als je met een trein, tram of bus reist en je hebt een geldig abonnement maar deze niet hebt gevalideerd, kun je een boete krijgen die kan oplopen tot ongeveer €50 of meer. Daarnaast wordt je soms gevraagd om het volledige enkelvoudige tarief te betalen voor de rit. 

Het is belangrijk om altijd je abonnement te valideren voordat je reist, om boetes en extra kosten te voorkomen. Voor de meest actuele informatie en exacte bedragen, raad ik aan om de website van de betreffende vervoerder te raadplegen.",agree,"Ответ про Нидерланды и неверный порядок суммы. У STIB: 10 € за 10 рабочих дней, затем 107 €."
598ea0a0-4d79-4a2d-b68a-49402d800f84,ungrounded,mobib_capacity,mobib,,Hoeveel vervoerbewijzen kan je op een MOBIB-kaart laden?,"Op een MOBIB-kaart kun je verschillende soorten vervoerbewijzen laden, maar het exacte aantal kan variëren afhankelijk van de specifieke opmerkingen en functies die door de vervoersmaatschappij worden aangeboden. Over het algemeen kunnen er meerdere tickettypes (zoals enkele ritten, retourtickets, abonnementen) op één kaart geladen worden, zolang de beschikbare capaciteit van de kaart dit toelaat en er geen conflicten zijn tussen de tickets. 

Voor de meest actuele informatie en specifieke details over het aantal vervoerbewijzen dat je op jouw MOBIB-kaart kunt laden, raad ik aan om de officiële website van de vervoersmaatschappij of hun klantenservice te raadplegen.",agree,STIB указывает точную вместимость: до 8 транспортных продуктов на MOBIB; ответ уклоняется от значения.
dc2ece63-a427-4492-a49f-f8bd0ab3b86f,ungrounded,mobib_capacity,mobib,,Combien de titres de transport peut-on charger sur une carte MOBIB ?,"Sur une carte MOBIB, il est possible de charger plusieurs titres de transport, mais la capacité exacte dépend du type de carte et des autorisations qui y sont associées. En général, pour une carte MOBIB personnelle, vous pouvez y charger plusieurs abonnements, billets ou réductions, tant qu'ils sont compatibles avec le système de transport utilisé. 

Pour obtenir des informations précises sur le nombre de titres pouvant être chargés et les types de billets disponibles, il est conseillé de consulter le site officiel de la STIB ou de l'organisme de transport concerné, comme la SNCB pour les trains en Belgique.",agree,STIB указывает точную вместимость: до 8 транспортных продуктов на MOBIB; ответ уклоняется от значения.
